address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"5428 Northwood Dr, Baltimore, MD 21239",21218,199000,3,2,1064,https://www.trulia.com/home/5428-northwood-dr-baltimore-md-21239-36588038
"108 Cross Keys Rd #R108D, Baltimore, MD 21210",21218,220000,2,2,1157,https://www.trulia.com/home/108-cross-keys-rd-r108d-baltimore-md-21210-36591820
"5404 Ready Ave, Baltimore, MD 21212",21211,230000,3,2,1408,https://www.trulia.com/home/5404-ready-ave-baltimore-md-21212-36615764
"5917 Chinquapin Pkwy, Baltimore, MD 21239",21217,279900,4,NaN,1752,https://www.trulia.com/home/5917-chinquapin-pkwy-baltimore-md-21239-36616561
"4211 Liberty Heights Ave, Baltimore, MD 21207",21217,169900,6,3,2600,https://www.trulia.com/home/4211-liberty-heights-ave-baltimore-md-21207-36625799
"213 Boswell Rd, Baltimore, MD 21229",21215,239000,3,2,1520,https://www.trulia.com/home/213-boswell-rd-baltimore-md-21229-36630702
"1211 Light St #412, Baltimore, MD 21230",21215,299900,1,1,1220,https://www.trulia.com/home/1211-light-st-412-baltimore-md-21230-67870914
"808 Ryan St, Baltimore, MD 21230",21215,368000,4,3,1840,https://www.trulia.com/home/808-ryan-st-baltimore-md-21230-72228616
"414 Water St #2101, Baltimore, MD 21202",21216,228500,2,2,1067,https://www.trulia.com/home/414-water-st-2101-baltimore-md-21202-81750362
"1502 Clarkson St, Baltimore, MD 21230",21230,560000,4,5,2480,https://www.trulia.com/home/1502-clarkson-st-baltimore-md-21230-131304395
"1526 Cuba St, Baltimore, MD 21230",21202,675000,3,3,1830,https://www.trulia.com/home/1526-cuba-st-baltimore-md-21230-241969793
"336 Saint Paul St, Baltimore, MD 21202",21201,5500000,4,NaN,6440,https://www.trulia.com/home/336-saint-paul-st-baltimore-md-21202-439920503
"3534 Old York Rd, Baltimore, MD 21218",21230,49500,NaN,NaN,NaN,https://www.trulia.com/home/3534-Old-York-Rd-Baltimore-MD-21218-439930027
"15 Mica Ct, Baltimore, MD 21209",21230,499000,4,4,2216,https://www.trulia.com/home/15-mica-ct-baltimore-md-21209-36352995
